Record Date,Electronic Category Description,Channel Type Description,Tax Category Description,Net Collections Amount,Electronic Category ID,Channel Type ID,Tax Category ID,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-12-17,Fully Electronic - All,Internet,Non-Tax,672454472.74,1,3,1,13,2025,1,2024,4,12,17
2024-12-17,Fully Electronic - All,Internet,IRS Tax,9898089090.28,1,3,3,14,2025,1,2024,4,12,17
2024-12-16,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,29356.44,2,1,2,3,2025,1,2024,4,12,16
2024-12-16,Non-Electronic,Mail,Non-Tax,2796.91,4,2,1,1,2025,1,2024,4,12,16
2024-12-16,Non-Electronic,Over-the-Counter (OTC),Non-Tax,13089706.38,4,1,1,2,2025,1,2024,4,12,16
2024-12-16,Fully Electronic - All,Bank,Non-Tax,1981103268.37,1,5,1,7,2025,1,2024,4,12,16
2024-12-16,Fully Electronic - All,Internet,IRS Non-Tax,726948.00,1,3,2,8,2025,1,2024,4,12,16
2024-12-16,Fully Electronic - All,Bank,IRS Tax,36245.69,1,5,3,4,2025,1,2024,4,12,16
2024-12-16,Non-Electronic,Over-the-Counter (OTC),IRS Tax,4236065.44,4,1,3,5,2025,1,2024,4,12,16
2024-12-16,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,2007915.44,3,1,1,6,2025,1,2024,4,12,16
2024-12-16,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,78027073.60,2,1,1,9,2025,1,2024,4,12,16
2024-12-16,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,100031933.35,2,1,3,10,2025,1,2024,4,12,16
2024-12-16,Electronic Settlement,Mail,IRS Tax,165771948.31,3,2,3,11,2025,1,2024,4,12,16
2024-12-16,Electronic Settlement,Mail,Non-Tax,54228831.28,3,2,1,12,2025,1,2024,4,12,16
2024-12-16,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,52644761.56,1,1,1,13,2025,1,2024,4,12,16
2024-12-16,Fully Electronic - All,Internet,Non-Tax,750531451.95,1,3,1,14,2025,1,2024,4,12,16
2024-12-16,Fully Electronic - All,Internet,IRS Tax,96698567882.61,1,3,3,15,2025,1,2024,4,12,16
2024-12-13,Non-Electronic,Over-the-Counter (OTC),Non-Tax,7472341.22,4,1,1,1,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - All,Internet,IRS Non-Tax,521155.57,1,3,2,7,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - All,Bank,IRS Non-Tax,30.00,1,5,2,2,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - All,Bank,IRS Tax,738209.54,1,5,3,3,2025,1,2024,4,12,13
2024-12-13,Non-Electronic,Over-the-Counter (OTC),IRS Tax,5522513.10,4,1,3,4,2025,1,2024,4,12,13
2024-12-13,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,216319.66,3,1,1,5,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,95525917.70,2,1,1,8,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - All,Bank,Non-Tax,1568341917.86,1,5,1,9,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,33969.76,2,1,2,6,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,78013265.61,2,1,3,10,2025,1,2024,4,12,13
2024-12-13,Electronic Settlement,Mail,IRS Tax,219776997.20,3,2,3,11,2025,1,2024,4,12,13
2024-12-13,Electronic Settlement,Mail,Non-Tax,43534065.49,3,2,1,12,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - All,Internet,IRS Tax,36544272280.27,1,3,3,13,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,16787322.25,1,1,1,14,2025,1,2024,4,12,13
2024-12-13,Fully Electronic - All,Internet,Non-Tax,753172045.53,1,3,1,15,2025,1,2024,4,12,13
2024-12-12,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,1436304.88,3,1,1,1,2025,1,2024,4,12,12
2024-12-12,Non-Electronic,Over-the-Counter (OTC),Non-Tax,14861598.72,4,1,1,2,2025,1,2024,4,12,12
2024-12-12,Fully Electronic - All,Internet,IRS Non-Tax,483218.05,1,3,2,6,2025,1,2024,4,12,12
2024-12-12,Fully Electronic - All,Bank,IRS Non-Tax,131.00,1,5,2,3,2025,1,2024,4,12,12
2024-12-12,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,37813.01,2,1,2,4,2025,1,2024,4,12,12
2024-12-12,Non-Electronic,Over-the-Counter (OTC),IRS Tax,3234345.88,4,1,3,5,2025,1,2024,4,12,12
